dc; n_install
1; 30
2; 30
3; 30
4; 30
5; 30
6; 30
7; 29
8; 29
9; 29
10; 29
11; 29
12; 29
13; 29
14; 29
15; 28
16; 28
17; 28
18; 28
19; 27
20; 26
21; 26
22; 26
23; 26
24; 26
25; 26
26; 26
27; 26
28; 26
29; 26
30; 26
31; 26
32; 26
33; 25
34; 24
35; 24
36; 23
37; 22
38; 22
39; 22
40; 22
41; 22
42; 22
43; 22
44; 22
45; 22
46; 19
47; 19
48; 18
49; 18
50; 18
51; 17
52; 15
53; 15
54; 15
55; 14
56; 13
57; 13
58; 11
59; 11
60; 11
61; 10
62; 9
63; 9
64; 9
65; 9
66; 9
67; 9
68; 9
69; 8.5
70; 7.33333
71; 7
72; 7
73; 7
74; 6.33333
75; 6
76; 6
77; 6
78; 6
79; 6
80; 6
81; 6
82; 6
83; 6
84; 6
85; 6
86; 6
87; 6
88; 6
89; 6
90; 6
91; 5.5
92; 5
93; 5
94; 5
95; 5
96; 5
97; 5
98; 5
99; 5
100; 5
101; 5
102; 5
103; 5
104; 5
105; 4
106; 4
107; 4
108; 4
109; 4
110; 4
111; 4
112; 4
113; 4
114; 4
115; 4
116; 4
117; 3.5
118; 3.5
119; 3.5
120; 3.5
121; 3.5
122; 3.5
123; 3.5
124; 3.5
125; 3.5
126; 3
127; 3
128; 3
129; 3
130; 3
131; 3
132; 3
133; 3
134; 3
135; 3
136; 3
137; 3
138; 3
139; 3
140; 3
141; 3
142; 3
143; 3
144; 3
145; 3
146; 3
147; 3
148; 3
149; 3
150; 3
151; 3
152; 3
153; 3
154; 3
155; 3
156; 3
157; 3
158; 3
159; 3
160; 3
161; 3
162; 3
163; 3
164; 3
165; 3
166; 3
167; 3
168; 3
169; 3
170; 3
171; 3
172; 3
173; 3
174; 3
175; 3
176; 3
177; 3
178; 3
179; 3
180; 3
181; 3
182; 3
183; 3
184; 3
185; 3
186; 3
187; 3
188; 3
189; 3
190; 3
191; 3
192; 3
193; 2
194; 2
195; 2
196; 2
197; 2
198; 2
199; 2
200; 2
201; 2
202; 2
203; 2
204; 2
205; 2
206; 2
207; 2
208; 2
209; 2
210; 2
211; 2
212; 2
213; 2
214; 2
215; 2
216; 2
217; 2
218; 2
219; 2
220; 2
221; 2
222; 2
223; 2
224; 2
225; 2
226; 2
227; 2
228; 1.5
229; 1.5
230; 1.5
231; 1.5
232; 1.5
233; 1.5
234; 1.5
235; 1.5
236; 1.5
237; 1.5
238; 1.5
239; 1.5
240; 1.5
241; 1.5
242; 1.5
243; 1.5
244; 1.5
245; 1.5
246; 1.5
247; 1.5
248; 1.5
249; 1.5
250; 1.5
